                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 2.1211,                 3.1214,                  2.574,                0.57488,                0.34485,                0.25826,                0.09944,                 2.1321,                 2.9173,                 2.5685,             0.00060847,             0.00060847,             0.00060847
                    119,                 2.4368,                 2.7202,                 2.6516,                0.57056,                 0.2881,                0.24489,                0.09108,                 2.1003,                 2.9039,                 2.5742,             0.00060139,             0.00060139,             0.00060139
                    120,                 2.5099,                 2.9261,                 2.7278,                0.52772,                0.25726,                0.19487,                0.07385,                 2.0923,                 2.9059,                 2.5972,             0.00059432,             0.00059432,             0.00059432
                    121,                  2.066,                 3.4986,                 2.8332,                0.54682,                0.23579,                0.19482,                0.07285,                 2.1332,                 2.8567,                 2.6165,             0.00058725,             0.00058725,             0.00058725
                    122,                 2.4024,                 2.7458,                 2.7443,                0.51709,                0.25714,                0.26956,                 0.1045,                 2.0975,                 2.7375,                 2.5982,             0.00058017,             0.00058017,             0.00058017
                    123,                 2.2461,                 3.1612,                 2.8139,                 0.6296,                0.33571,                0.29227,                0.11236,                  2.094,                 2.7347,                 2.5749,              0.0005731,              0.0005731,              0.0005731
                    124,                 2.4205,                 2.6033,                 2.6118,                0.59404,                0.23571,                0.26867,                 0.0986,                 2.1629,                 2.8296,                 2.6014,             0.00056603,             0.00056603,             0.00056603
                    125,                 2.4258,                 2.6544,                 2.6814,                0.57211,                0.26905,                0.28877,                0.10801,                 2.1881,                 2.7885,                 2.5953,             0.00055895,             0.00055895,             0.00055895
                    126,                 2.3262,                 2.9223,                  2.721,                0.64158,                0.33571,                0.31272,                0.12405,                  2.128,                 2.7059,                 2.5459,             0.00055188,             0.00055188,             0.00055188
                    127,                 2.3934,                 3.1313,                 2.8444,                0.65914,                0.32278,                 0.3236,                0.12982,                 2.0766,                 2.7196,                 2.5132,             0.00054481,             0.00054481,             0.00054481
                    128,                 2.4627,                 3.1597,                 2.7862,                0.67604,                0.35952,                0.34231,                0.13495,                 2.0675,                 2.7209,                 2.5025,             0.00053773,             0.00053773,             0.00053773
                    129,                 2.2892,                 2.9323,                 2.6853,                0.73954,                0.30566,                0.35771,                0.13757,                 2.0427,                 2.6863,                 2.4985,             0.00053066,             0.00053066,             0.00053066
                    130,                 2.8572,                 4.0625,                 3.0537,                0.70809,                0.32619,                0.37002,                0.14426,                 2.0466,                 2.6386,                  2.505,             0.00052359,             0.00052359,             0.00052359
                    131,                 2.2909,                 2.6398,                 2.5185,                0.68126,                0.32906,                0.36134,                 0.1395,                 2.0325,                 2.5531,                 2.4921,             0.00051651,             0.00051651,             0.00051651
                    132,                 2.4417,                 2.9049,                 2.6244,                0.77522,                0.27143,                0.35359,                 0.1427,                 2.0141,                 2.5835,                 2.4736,             0.00050944,             0.00050944,             0.00050944
                    133,                 1.9876,                 2.9976,                 2.6344,                0.73402,                0.33571,                0.36967,                0.15121,                  1.981,                 2.6482,                 2.4371,             0.00050236,             0.00050236,             0.00050236
                    134,                  1.719,                  3.219,                 1.9693,                0.67766,                0.36905,                0.36777,                0.15549,                 1.9607,                 2.6992,                 2.4282,             0.00049529,             0.00049529,             0.00049529
                    135,                 2.1788,                  2.904,                  2.563,                0.76706,                0.38571,                0.40929,                0.16336,                 1.9708,                 2.6227,                 2.4204,             0.00048822,             0.00048822,             0.00048822
                    136,                  2.546,                 2.8346,                   2.78,                0.82525,                0.36687,                0.41078,                0.14522,                 1.9655,                 2.6164,                 2.4216,             0.00048114,             0.00048114,             0.00048114
                    137,                 1.8203,                 3.0325,                  2.073,                0.69987,                0.31905,                0.35426,                0.13168,                  1.936,                 2.5946,                 2.4134,             0.00047407,             0.00047407,             0.00047407
